 [03:02:28]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:02:58]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:03:08]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:03:09]  OUT: S 8, D 5, Dp 1, Sp 34, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:03:13]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:03:13]  INP: S 5, D 8, Dp 51, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [03:03:14]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:03:14]  INP: S 5, D 8, Dp 47, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [03:03:15]  OUT: S 8, D 5, Dp 9, Sp 48, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:15]  INP: S 5, D 8, Dp 48, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:16]  OUT: S 8, D 5, Dp 9, Sp 34, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:17]  INP: S 5, D 8, Dp 34, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:18]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:18]  INP: S 5, D 8, Dp 52, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:03:19]  OUT: S 8, D 5, Dp 9, Sp 38, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:20]  OUT: S 8, D 5, Dp 9, Sp 57, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:22]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:23]  OUT: S 8, D 5, Dp 9, Sp 61, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:24]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:03:25]  INP: S 5, D 8, Dp 47, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
