 [03:11:49]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:11:59]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:09]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:10]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:14]  OUT: S 8, D 5, Dp 1, Sp 37, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:17]  OUT: S 8, D 5, Dp 1, Sp 57, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:19]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:20]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:24]  OUT: S 8, D 5, Dp 1, Sp 33, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:27]  OUT: S 8, D 5, Dp 1, Sp 52, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:29]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:30]  OUT: S 8, D 5, Dp 1, Sp 41, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [18:12:33]  OUT: S 8, D 5, Dp 1, Sp 59, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:37]  OUT: S 8, D 5, Dp 1, Sp 47, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:39]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:40]  OUT: S 8, D 5, Dp 1, Sp 35, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:43]  OUT: S 8, D 5, Dp 1, Sp 55, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:47]  OUT: S 8, D 5, Dp 1, Sp 42, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:49]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:12:50]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:53]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:57]  OUT: S 8, D 5, Dp 1, Sp 38, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:12:59]  INP: S 3, D 8, Dp 31, Sp 38, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:00]  OUT: S 8, D 5, Dp 1, Sp 57, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:03]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:06]  OUT: S 8, D 5, Dp 1, Sp 32, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:09]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:10]  OUT: S 8, D 5, Dp 1, Sp 53, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:13]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:16]  OUT: S 8, D 5, Dp 1, Sp 56, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:19]  INP: S 3, D 8, Dp 31, Sp 53, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:20]  OUT: S 8, D 5, Dp 1, Sp 43, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:23]  OUT: S 8, D 5, Dp 1, Sp 63, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:26]  OUT: S 8, D 5, Dp 1, Sp 50, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:29]  INP: S 3, D 8, Dp 31, Sp 40, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:13:30]  OUT: S 8, D 5, Dp 1, Sp 39, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:33]  OUT: S 8, D 5, Dp 1, Sp 58, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:36]  OUT: S 8, D 5, Dp 1, Sp 46, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:39]  OUT: S 8, D 5, Dp 1, Sp 33, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:43]  OUT: S 8, D 5, Dp 1, Sp 53, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:13:46]  OUT: S 8, D 5, Dp 1, Sp 40, Pr 2, Fl 0x01, Sz 4 VIA: KISS
